時間,買價,賣價,成交價,漲跌,分量(張),累計量(張)
14:30:00,522.00,523.00,522.00,-16.00,72,28915
13:30:00,522.00,523.00,522.00,-16.00,4854,28843
13:24:59,522.00,523.00,523.00,-15.00,2,23989
13:24:58,522.00,523.00,522.00,-16.00,2,23987
13:24:58,522.00,523.00,522.00,-16.00,3,23985
13:24:58,522.00,523.00,522.00,-16.00,1,23982
13:24:57,522.00,523.00,523.00,-15.00,1,23981
13:24:57,522.00,523.00,523.00,-15.00,1,23980
13:24:57,522.00,523.00,522.00,-16.00,1,23979
13:24:56,522.00,523.00,523.00,-15.00,1,23978
13:24:55,522.00,523.00,523.00,-15.00,3,23977
13:24:55,522.00,523.00,522.00,-16.00,1,23974
13:24:55,522.00,523.00,523.00,-15.00,1,23973
13:24:55,522.00,523.00,523.00,-15.00,3,23972
13:24:55,522.00,523.00,523.00,-15.00,2,23969
13:24:55,522.00,523.00,522.00,-16.00,2,23967
13:24:55,522.00,523.00,522.00,-16.00,1,23965
13:24:55,522.00,523.00,523.00,-15.00,1,23964
13:24:55,522.00,523.00,523.00,-15.00,1,23963
13:24:55,522.00,523.00,522.00,-16.00,1,23962
13:24:55,522.00,523.00,522.00,-16.00,1,23961
13:24:54,522.00,523.00,522.00,-16.00,1,23960
13:24:54,522.00,523.00,523.00,-15.00,1,23959
13:24:54,522.00,523.00,522.00,-16.00,1,23958
13:24:54,522.00,523.00,523.00,-15.00,1,23957
13:24:53,522.00,523.00,522.00,-16.00,1,23956
13:24:53,522.00,523.00,522.00,-16.00,1,23955
13:24:53,522.00,523.00,523.00,-15.00,2,23954
13:24:52,522.00,523.00,522.00,-16.00,4,23952
13:24:52,522.00,523.00,523.00,-15.00,3,23948
13:24:52,522.00,523.00,522.00,-16.00,1,23945
13:24:52,522.00,523.00,523.00,-15.00,1,23944
13:24:51,522.00,523.00,522.00,-16.00,1,23943
13:24:51,522.00,523.00,522.00,-16.00,1,23942
13:24:51,522.00,523.00,523.00,-15.00,1,23941
13:24:51,522.00,523.00,522.00,-16.00,6,23940
13:24:50,522.00,523.00,523.00,-15.00,1,23934
13:24:50,522.00,523.00,523.00,-15.00,1,23933
13:24:50,522.00,523.00,523.00,-15.00,1,23932
13:24:50,522.00,523.00,522.00,-16.00,2,23931
13:24:49,522.00,523.00,523.00,-15.00,2,23929
13:24:47,522.00,523.00,522.00,-16.00,4,23927
13:24:47,522.00,523.00,523.00,-15.00,1,23923
13:24:46,522.00,523.00,523.00,-15.00,2,23922
13:24:45,522.00,523.00,523.00,-15.00,4,23920
13:24:44,522.00,523.00,522.00,-16.00,2,23916
13:24:43,522.00,523.00,522.00,-16.00,2,23914
13:24:43,522.00,523.00,523.00,-15.00,1,23912
13:24:42,522.00,523.00,523.00,-15.00,2,23911
13:24:41,522.00,523.00,523.00,-15.00,1,23909
13:24:41,522.00,523.00,523.00,-15.00,1,23908
13:24:41,522.00,523.00,522.00,-16.00,2,23907
13:24:41,522.00,523.00,522.00,-16.00,1,23905
13:24:41,522.00,523.00,523.00,-15.00,1,23904
13:24:40,522.00,523.00,522.00,-16.00,1,23903
13:24:40,522.00,523.00,522.00,-16.00,1,23902
13:24:39,522.00,523.00,522.00,-16.00,6,23901
13:24:39,522.00,523.00,522.00,-16.00,2,23895
13:24:39,522.00,523.00,523.00,-15.00,1,23893
13:24:39,522.00,523.00,522.00,-16.00,1,23892
13:24:39,522.00,523.00,522.00,-16.00,1,23891
13:24:38,522.00,523.00,523.00,-15.00,1,23890
13:24:38,522.00,523.00,523.00,-15.00,1,23889
13:24:38,522.00,523.00,523.00,-15.00,1,23888
13:24:36,522.00,523.00,523.00,-15.00,2,23887
13:24:36,522.00,523.00,522.00,-16.00,1,23885
13:24:35,522.00,523.00,523.00,-15.00,1,23884
13:24:35,522.00,523.00,523.00,-15.00,1,23883
13:24:34,522.00,523.00,523.00,-15.00,2,23882
13:24:34,522.00,523.00,523.00,-15.00,1,23880
13:24:33,522.00,523.00,522.00,-16.00,5,23879
13:24:32,522.00,523.00,523.00,-15.00,1,23874
13:24:31,522.00,523.00,523.00,-15.00,2,23873
13:24:30,522.00,523.00,523.00,-15.00,1,23871
13:24:30,522.00,523.00,522.00,-16.00,5,23870
13:24:30,522.00,523.00,522.00,-16.00,1,23865
13:24:30,522.00,523.00,523.00,-15.00,1,23864
13:24:30,522.00,523.00,522.00,-16.00,1,23863
13:24:30,522.00,523.00,522.00,-16.00,1,23862
13:24:30,522.00,523.00,522.00,-16.00,1,23861
13:24:30,522.00,523.00,523.00,-15.00,3,23860
13:24:30,522.00,523.00,522.00,-16.00,1,23857
13:24:30,522.00,523.00,522.00,-16.00,1,23856
13:24:30,522.00,523.00,523.00,-15.00,1,23855
13:24:29,522.00,523.00,522.00,-16.00,1,23854
13:24:29,522.00,523.00,523.00,-15.00,1,23853
13:24:29,522.00,523.00,523.00,-15.00,2,23852
13:24:29,522.00,523.00,523.00,-15.00,1,23850
13:24:29,522.00,523.00,522.00,-16.00,1,23849
13:24:28,522.00,523.00,522.00,-16.00,5,23848
13:24:28,522.00,523.00,523.00,-15.00,1,23843
13:24:27,522.00,523.00,522.00,-16.00,1,23842
13:24:25,522.00,523.00,522.00,-16.00,1,23841
13:24:25,522.00,523.00,523.00,-15.00,1,23840
13:24:24,522.00,523.00,523.00,-15.00,1,23839
13:24:23,522.00,523.00,522.00,-16.00,2,23838
13:24:23,522.00,523.00,522.00,-16.00,1,23836
13:24:21,522.00,523.00,523.00,-15.00,1,23835
13:24:20,522.00,523.00,522.00,-16.00,3,23834
13:24:20,522.00,523.00,522.00,-16.00,1,23831
13:24:20,522.00,523.00,523.00,-15.00,1,23830
13:24:18,522.00,523.00,523.00,-15.00,1,23829
13:24:18,522.00,523.00,522.00,-16.00,2,23828
13:24:18,522.00,523.00,522.00,-16.00,1,23826
13:24:17,522.00,523.00,523.00,-15.00,1,23825
13:24:17,522.00,523.00,523.00,-15.00,1,23824
13:24:15,522.00,523.00,523.00,-15.00,1,23823
13:24:13,522.00,523.00,523.00,-15.00,2,23822
13:24:12,522.00,523.00,523.00,-15.00,1,23820
13:24:12,522.00,523.00,522.00,-16.00,1,23819
13:24:12,522.00,523.00,523.00,-15.00,1,23818
13:24:12,522.00,523.00,523.00,-15.00,3,23817
13:24:11,522.00,523.00,523.00,-15.00,1,23814
13:24:10,522.00,523.00,523.00,-15.00,1,23813
13:24:10,522.00,523.00,523.00,-15.00,3,23812
13:24:10,522.00,523.00,522.00,-16.00,30,23809
13:24:09,522.00,523.00,523.00,-15.00,1,23779
13:24:08,522.00,523.00,522.00,-16.00,1,23778
13:24:08,522.00,523.00,523.00,-15.00,3,23777
